iter	Logloss
0	0.6442478544
1	0.6070076495
2	0.5788127156
3	0.5567054712
4	0.5392633261
5	0.5256042973
6	0.5148615135
7	0.5068589051
8	0.5001423824
9	0.4939120176
10	0.4892399012
11	0.4847190918
12	0.4818999852
13	0.4785336599
14	0.4755421359
15	0.4730468426
16	0.4711081823
17	0.4692949226
18	0.4674221294
19	0.4659225078
20	0.4643393519
21	0.4629955684
22	0.4618287144
23	0.4607910592
24	0.4595842824
25	0.4587485904
26	0.4579589074
27	0.4570820749
28	0.4563669726
29	0.4555188201
30	0.454674952
31	0.4539548554
32	0.4533976121
33	0.4528153386
34	0.4522360333
35	0.4516611576
36	0.4511391684
37	0.4506356358
38	0.4502066359
39	0.4495821767
40	0.4491008812
41	0.4486288126
42	0.4481945592
43	0.4478233371
44	0.4473518604
45	0.4468632391
46	0.4466003934
47	0.4461024754
48	0.4458103069
49	0.4455140168
50	0.4451615397
51	0.4447584641
52	0.4444988789
53	0.4442013863
54	0.4438196143
55	0.4436374646
56	0.4432670706
57	0.4430122361
58	0.4426869816
59	0.4423251741
60	0.442063432
61	0.4416951879
62	0.4413676144
63	0.4410415753
64	0.4407884239
65	0.44054692
66	0.4402410903
67	0.439982317
68	0.4398339146
69	0.4395830048
70	0.4393446374
71	0.4390642724
72	0.4387278813
73	0.4385349782
74	0.4382412502
75	0.437949247
76	0.4376652114
77	0.4373668802
78	0.4371260063
79	0.4369506449
80	0.4367951731
81	0.4365853086
82	0.4363658147
83	0.4361419006
84	0.4359870296
85	0.4356907991
86	0.4355371297
87	0.4353035491
88	0.4350536504
89	0.4347430814
90	0.4344662636
91	0.4342244228
92	0.4339465637
93	0.4337773384
94	0.4336117182
95	0.4335331039
96	0.4332766232
97	0.4330481215
98	0.4327192735
99	0.4325983011
100	0.4323936765
101	0.4321408817
102	0.4319458357
103	0.4317681195
104	0.4315516517
105	0.431323613
106	0.4311197047
107	0.4308879387
108	0.4306347609
109	0.4304039252
110	0.4302037621
111	0.42984839
112	0.4296077624
113	0.4294063281
114	0.4291458832
115	0.4289459961
116	0.4287252814
117	0.4284590761
118	0.428246259
119	0.427979317
120	0.427800071
121	0.4275551268
122	0.4272780967
123	0.4270591604
124	0.4267877381
125	0.4264990414
126	0.426307417
127	0.4260903199
128	0.4258537761
129	0.4256680596
130	0.4254680833
131	0.4252839784
132	0.4251262411
133	0.424871572
134	0.4247335478
135	0.424589981
136	0.4244428017
137	0.4242706823
138	0.4241160588
139	0.4239218203
140	0.4237734968
141	0.4235003236
142	0.4232386068
143	0.4230829712
144	0.422840364
145	0.4226141295
146	0.4224453547
147	0.4223120352
148	0.422056239
149	0.421909645
150	0.4216680601
151	0.421453654
152	0.4212751444
153	0.4211304518
154	0.420962668
155	0.4207256674
156	0.4205120118
157	0.4203399026
158	0.4200824558
159	0.4199334592
160	0.4197928742
161	0.4195800624
162	0.4194936838
163	0.4192711518
164	0.4190487767
165	0.4188954484
166	0.4187096452
167	0.4185259737
168	0.4183306604
169	0.4181924868
170	0.4180425769
171	0.417881748
172	0.4176375993
173	0.4175082057
174	0.417378037
175	0.4171138225
176	0.4168480948
177	0.416569923
178	0.4163746916
179	0.416365292
180	0.4161830462
181	0.4158755381
182	0.4156082328
183	0.4154054436
184	0.4152616476
185	0.4151661045
186	0.4149086815
187	0.4147009835
188	0.4145187915
189	0.4143837989
190	0.4141496483
191	0.414000142
192	0.4138072508
193	0.4136733764
194	0.4134327279
195	0.4132478852
196	0.4130651961
197	0.4128482489
198	0.4126904935
199	0.4125198112
200	0.4123688382
201	0.4122332872
202	0.4119939184
203	0.4117720863
204	0.4116237158
205	0.4114261755
206	0.41117237
207	0.4110026634
208	0.4107779671
209	0.410466096
210	0.4103114335
211	0.4101890002
212	0.4099465027
213	0.4098104657
214	0.4095807798
215	0.4093520028
216	0.4092224927
217	0.4089818964
218	0.4088425565
219	0.4086419383
220	0.4084742922
221	0.4082407847
222	0.4080921645
223	0.4079093055
224	0.407763191
225	0.4075821976
226	0.4074585752
227	0.4072704154
228	0.4071332117
229	0.4069643366
230	0.4068047913
231	0.4066539798
232	0.4064455291
233	0.406247041
234	0.4060273219
235	0.4058475187
236	0.4057201676
237	0.4055781867
238	0.4054599645
239	0.4053097326
240	0.405138395
241	0.4049736238
242	0.4047729396
243	0.4045337236
244	0.4043470576
245	0.4041403228
246	0.4038730906
247	0.403640667
248	0.4034704586
249	0.4032778127
250	0.4032226391
251	0.4030886326
252	0.4028403361
253	0.402703436
254	0.4025495013
255	0.4023392125
256	0.4021567389
257	0.4020336379
258	0.4017949655
259	0.4016655524
260	0.4014861864
261	0.4013437841
262	0.4011490366
263	0.4009709062
264	0.4008326803
265	0.4008247087
266	0.4006930321
267	0.400483916
268	0.4003206901
269	0.4001328687
270	0.4000122461
271	0.3998403194
272	0.3996833783
273	0.3994836156
274	0.3993446919
275	0.3991545099
276	0.3989935708
277	0.3988446157
278	0.3987511379
279	0.3986209699
280	0.3984492467
281	0.3984412891
282	0.3982080454
283	0.3980785175
284	0.3979453985
285	0.3978117098
286	0.3976663427
287	0.397472041
288	0.3972413608
289	0.3971482036
290	0.3969564836
291	0.3967804851
292	0.3966267974
293	0.396394082
294	0.3963226779
295	0.3961407173
296	0.3960365416
297	0.3959038667
298	0.3957607981
299	0.3956592168
